Model,mean,std,count,Experiment,Metric
GPT-4,0.165,0.3715,600,1,Error Detected
Claude-3,0.0833,0.2766,600,1,Error Detected
Llama-3.2,0.0667,0.2497,600,1,Error Detected
Qwen-2.5,0.2167,0.4123,600,1,Error Detected
Gemma-2,0.07,0.2554,600,1,Error Detected
GPT-4,0.5286,0.1426,600,1,Error Identification Accuracy
Claude-3,0.5379,0.135,600,1,Error Identification Accuracy
Llama-3.2,0.5245,0.1371,600,1,Error Identification Accuracy
Qwen-2.5,0.5149,0.1454,600,1,Error Identification Accuracy
Gemma-2,0.5164,0.1394,600,1,Error Identification Accuracy
GPT-4,0.3393213572854291,0.474,501,2,Error Admitted
Claude-3,0.2927272727272727,0.4554,550,2,Error Admitted
Llama-3.2,0.1375,0.3447,560,2,Error Admitted
Qwen-2.5,0.3021276595744681,0.4597,470,2,Error Admitted
Gemma-2,0.400359066427289,0.4904,557,2,Error Admitted
GPT-4,0.1303,0.2199,501,2,Correction Quality
Claude-3,0.0987,0.1273,550,2,Correction Quality
Llama-3.2,0.0337,0.0858,560,2,Correction Quality
Qwen-2.5,0.147,0.7981,470,2,Correction Quality
Gemma-2,0.0449,0.1003,557,2,Correction Quality
GPT-4,0.9339,0.0442,600,3,Context Consistency
Claude-3,0.9263,0.0512,600,3,Context Consistency
Llama-3.2,0.9399,0.0683,600,3,Context Consistency
Qwen-2.5,0.8977,0.1343,600,3,Context Consistency
Gemma-2,0.9456,0.0738,600,3,Context Consistency
